"Name","Status"
"StateRepository","Running"
"Steam Client Service","Running"
"StiSvc","Stopped"
"StorSvc","Running"
"svsvc","Stopped"
"swprv","Stopped"
"SysMain","Running"
"SystemEventsBroker","Running"
"TapiSrv","Running"
"TavernComn_3_1","Running"
"TavernWorker_3_1","Stopped"
"TeamViewer","Stopped"
"TermService","Stopped"
"TextInputManagementService","Running"
"Themes","Running"
"TieringEngineService","Stopped"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TrkWks","Running"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UdkUserSvc_13b6e3","Running"
"UevAgentService","Stopped"
"UmRdpService","Stopped"
"UnistoreSvc_13b6e3","Running"
"upnphost","Stopped"
"UserDataSvc_13b6e3","Running"
"UserManager","Running"
"UsoSvc","Running"
"VaultSvc","Running"
"vds","Stopped"
"vgc","Stopped"
"vmcompute","Running"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"vmms","Running"
"VSS","Stopped"
"W32Time","Running"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"Wcmsvc","Running"
"wcncsvc","Stopped"
"WdiServiceHost","Stopped"
"WdiSystemHost","Running"
"WdNisSvc","Running"
"WebClient","Stopped"
"webthreatdefsvc","Running"
"webthreatdefusersvc_13b6e3","Running"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"whesvc","Running"
"WiaRpc","Stopped"
"WinDefend","Running"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WinRM","Stopped"
"wisvc","Stopped"
"WlanSvc","Running"
"wlidsvc","Stopped"
"wlpasvc","Stopped"
"WManSvc","Stopped"
"wmiApSrv","Stopped"
"WMIRegistrationService","Running"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WpnService","Running"
"WpnUserService_13b6e3","Running"
"WSAIFabricSvc","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Stopped"
"wuqisvc","Running"
"WwanSvc","Stopped"
"XblAuthManager","Running"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
